"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","femID","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"C1",1,2,"1,2","m",60,60,0,10.102,"C1F1",2.33333333333333,5.44444444444445,30,10,0.923076923076923,1,0.307692307692308,1.01036269430052,3.30416717433821e-05
"C1",3,1,"1","s",35,35,0,10.408,"C1F3",1.16666666666667,1.36111111111111,35,5.83333333333333,1.07692307692308,1,0.179487179487179,1.01036269430052,1.92743085169729e-05
"C1",4,2,"1,1","m",60,58,2,9.003,"C1F4",2.33333333333333,5.44444444444445,30,10,0.923076923076923,0.966666666666667,0.297435897435897,0.976683937823834,0.00016727346320087
"C1",5,1,"7","s",40,40,0,9.755,"C1F5",1.16666666666667,1.36111111111111,40,6.66666666666667,1.23076923076923,1,0.205128205128205,1.01036269430052,2.20277811622547e-05
"C1",6,0,"","0",0,0,0,9.739,"C1F6",0,0,0,0,0,0,0,0,0
"C1",7,0,"","0",0,0,0,9.285,"C1F7",0,0,0,0,0,0,0,0,0
"C1",8,0,"","0",0,0,0,9.916,"C1F8",0,0,0,0,0,0,0,0,0
"C3",1,0,"","0",0,0,0,9.85,"C3F1",0,0,0,0,0,0,0,0,0
"C3",2,0,"","0",0,0,0,9.6,"C3F2",0,0,0,0,0,0,0,0,0
"C3",3,1,"5","s",24,24,0,8.868,"C3F3",1.14285714285714,1.30612244897959,24,3.42857142857143,0.879581151832461,1,0.12565445026178,1.00526315789474,3.48073269423216e-06
"C3",4,2,"1,3","m",44,44,0,8.825,"C3F4",2.28571428571429,5.22448979591837,22,6.28571428571429,0.806282722513089,1,0.230366492146597,1.00526315789474,6.38134327275895e-06
"C3",5,1,"3","s",42,41,1,10.321,"C3F5",1.14285714285714,1.30612244897959,42,6,1.53926701570681,0.976190476190476,0.214659685863874,0.981328320802005,7.66624469688971e-05
"C3",6,2,"1,1,5","m",63,63,0,9.613,"C3F6",2.28571428571429,5.22448979591837,31.5,9,1.1544502617801,1,0.329842931937173,1.00526315789474,9.13692332235941e-06
"C3",7,1,"10","s",18,18,0,9.786,"C3F7",1.14285714285714,1.30612244897959,18,2.57142857142857,0.659685863874346,1,0.0942408376963351,1.00526315789474,2.61054952067412e-06
"C3",8,0,"","0",0,0,0,9.526,"C3F8",0,0,0,0,0,0,0,0,0
"C4",1,3,"2,2,4","m",87,84,3,9.462,"C4F1",4.8,23.04,29,17.4,1.07407407407407,0.96551724137931,0.622222222222222,1.10461718293396,0.00705328653302381
"C4",2,0,"","0",0,0,0,9.956,"C4F2",0,0,0,0,0,0,0,0,0
"C4",3,0,"","0",0,0,0,9.298,"C4F3",0,0,0,0,0,0,0,0,0
"C4",4,0,"","0",0,0,0,9.276,"C4F4",0,0,0,0,0,0,0,0,0
"C4",5,0,"","0",0,0,0,8.943,"C4F5",0,0,0,0,0,0,0,0,0
"C4",6,0,"","0",0,0,0,9.797,"C4F6",0,0,0,0,0,0,0,0,0
"C4",7,0,"","0",0,0,0,8.864,"C4F7",0,0,0,0,0,0,0,0,0
"C4",8,2,"3,7","m",48,34,14,9.559,"C4F8",3.2,10.24,24,9.6,0.888888888888889,0.708333333333333,0.251851851851852,0.810381355932203,0.0127840818411057
"C5",1,2,"10,12","m",43,33,10,10.43,"C5F1",2.28571428571429,5.22448979591837,21.5,6.14285714285714,0.906626506024096,0.767441860465116,0.198795180722892,0.872570882446639,0.00420627554227962
"C5",2,1,"1","s",25,25,0,9.379,"C5F2",1.14285714285714,1.30612244897959,25,3.57142857142857,1.05421686746988,1,0.150602409638554,1.13698630136986,0.00282609137996911
"C5",3,0,"","0",0,0,0,9.897,"C5F3",0,0,0,0,0,0,0,0,0
"C5",4,0,"","0",0,0,0,10.114,"C5F4",0,0,0,0,0,0,0,0,0
"C5",5,3,"1,7,13","m",71,64,7,9.558,"C5F5",3.42857142857143,11.7551020408163,23.6666666666667,10.1428571428571,0.997991967871486,0.901408450704225,0.385542168674699,1.02488906038974,0.000264952037487694
"C5",6,1,"6","s",27,24,3,9.725,"C5F6",1.14285714285714,1.30612244897959,27,3.85714285714286,1.13855421686747,0.888888888888889,0.144578313253012,1.01065449010654,1.8463797015798e-05
"C5",7,0,"","0",0,0,0,9.004,"C5F7",0,0,0,0,0,0,0,0,0
"C5",8,0,"","0",0,0,0,9.48,"C5F8",0,0,0,0,0,0,0,0,0
"C6",1,0,"","0",0,0,0,9.726,"C6F1",0,0,0,0,0,0,0,0,0
"C6",2,0,"","0",0,0,0,9.318,"C6F2",0,0,0,0,0,0,0,0,0
"C6",3,1,"1","s",34,32,2,9.835,"C6F3",1.14285714285714,1.30612244897959,34,4.85714285714286,1.36781609195402,0.941176470588235,0.183908045977011,1.0299667036626,0.0001754719147452
"C6",4,0,"","0",0,0,0,8.879,"C6F4",0,0,0,0,0,0,0,0,0
"C6",5,0,"","0",0,0,0,9.713,"C6F5",0,0,0,0,0,0,0,0,0
"C6",6,1,"2","s",38,38,0,11.251,"C6F6",1.14285714285714,1.30612244897959,38,5.42857142857143,1.52873563218391,1,0.218390804597701,1.09433962264151,0.00194367038623799
"C6",7,2,"1,2","m",48,46,2,9.543,"C6F7",2.28571428571429,5.22448979591837,24,6.85714285714286,0.96551724137931,0.958333333333333,0.264367816091954,1.04874213836478,0.000655392014447269
"C6",8,3,"1,1,3","m",54,43,11,10.735,"C6F8",3.42857142857143,11.7551020408163,18,7.71428571428571,0.724137931034483,0.796296296296296,0.247126436781609,0.87141858839972,0.00513098671317533
"C7",1,0,"","0",0,0,0,9.114,"C7F1",0,0,0,0,0,0,0,0,0
"C7",2,1,"1","s",26,25,1,9.971,"C7F2",1.14285714285714,1.30612244897959,26,3.71428571428571,1.04597701149425,0.961538461538462,0.14367816091954,1.18657937806874,0.00520177282950265
"C7",3,2,"4,9","m",47,37,10,10.007,"C7F3",2.28571428571429,5.22448979591837,23.5,6.71428571428571,0.945402298850575,0.787234042553192,0.21264367816092,0.971480307831598,0.000219704158303904
"C7",4,0,"","0",0,0,0,9.468,"C7F4",0,0,0,0,0,0,0,0,0
"C7",5,0,"","0",0,0,0,10.252,"C7F5",0,0,0,0,0,0,0,0,0
